state,year,unemployment_rate
MD,2009,7.016666666666667
MD,2010,7.6499999999999995
MD,2011,7.25
MD,2012,6.966666666666667
MD,2013,6.566666666666666
MD,2014,5.808333333333334
MD,2015,5.075
MD,2016,4.433333333333334
MD,2017,4.125
MD,2018,4.2299999999999995
ME,1976,8.675
ME,1977,8.241666666666667
ME,1978,6.416666666666667
ME,1979,6.791666666666667
ME,1980,7.625
ME,1981,7.35
ME,1982,8.375
ME,1983,8.283333333333333
ME,1984,6.233333333333333
ME,1985,5.475
ME,1986,5.275
ME,1987,4.375
ME,1988,3.6416666666666666
ME,1989,4.05
ME,1990,5.341666666666667
ME,1991,7.566666666666666
ME,1992,7.2749999999999995
ME,1993,7.25
ME,1994,6.991666666666667
ME,1995,5.933333333333334
ME,1996,5.208333333333333
ME,1997,5.025
ME,1998,4.5
ME,1999,3.9416666666666664
ME,2e3,3.3583333333333334
ME,2001,3.8249999999999997
ME,2002,4.35
ME,2003,4.958333333333333
ME,2004,4.641666666666667
ME,2005,4.875
ME,2006,4.566666666666666
ME,2007,4.683333333333334
ME,2008,5.516666666666667
ME,2009,8.083333333333332
ME,2010,8.125
ME,2011,7.891666666666667
ME,2012,7.466666666666667
ME,2013,6.65
ME,2014,5.633333333333333
ME,2015,4.375
ME,2016,3.783333333333333
ME,2017,3.3166666666666664
ME,2018,2.99
MI,1976,9.4
MI,1977,8.216666666666667
MI,1978,6.958333333333333
MI,1979,7.808333333333334
MI,1980,12.35
MI,1981,12.391666666666667
MI,1982,15.333333333333334
MI,1983,14.4
MI,1984,11.2
MI,1985,9.95
MI,1986,8.825
MI,1987,8.308333333333334
MI,1988,7.483333333333333
MI,1989,7.175
MI,1990,7.633333333333333
MI,1991,9.2
MI,1992,8.975
MI,1993,7.25
MI,1994,6.008333333333333
MI,1995,5.258333333333334
MI,1996,4.891666666666667
MI,1997,4.25
MI,1998,3.9583333333333335
MI,1999,3.6916666666666664
MI,2e3,3.65
MI,2001,5.175
MI,2002,6.275
MI,2003,7.175
MI,2004,7.016666666666667
MI,2005,6.783333333333333
MI,2006,7.008333333333333
MI,2007,7
MI,2008,8.041666666666666
MI,2009,13.608333333333333
MI,2010,12.575
MI,2011,10.391666666666666
MI,2012,9.125
MI,2013,8.783333333333333
MI,2014,7.233333333333333
MI,2015,5.408333333333333
MI,2016,4.991666666666667
MI,2017,4.625
MI,2018,4.42
MN,1976,5.808333333333334
MN,1977,5.258333333333333
MN,1978,3.8666666666666667
MN,1979,4.241666666666667
MN,1980,5.775
MN,1981,5.766666666666667
MN,1982,7.916666666666667
MN,1983,8.008333333333333
MN,1984,6.283333333333333
MN,1985,5.991666666666667
MN,1986,5.533333333333333
MN,1987,5.091666666666667
MN,1988,4.283333333333333
MN,1989,4.341666666666667
MN,1990,4.7749999999999995
MN,1991,5.166666666666666
MN,1992,5.125
MN,1993,4.975
MN,1994,4.058333333333334
MN,1995,3.725
MN,1996,3.9416666666666664
MN,1997,3.2583333333333333
MN,1998,2.6750000000000003
MN,1999,2.775
MN,2e3,3.1416666666666666
MN,2001,3.775
MN,2002,4.491666666666667
MN,2003,4.883333333333333
MN,2004,4.675
MN,2005,4.066666666666666
MN,2006,3.9916666666666667
MN,2007,4.55
MN,2008,5.441666666666666
MN,2009,7.766666666666667
MN,2010,7.391666666666667
MN,2011,6.491666666666667
MN,2012,5.608333333333333
MN,2013,4.958333333333333
MN,2014,4.166666666666667
MN,2015,3.6750000000000003
MN,2016,3.8583333333333334
MN,2017,3.458333333333333
MN,2018,3.06
MO,1976,6.233333333333333
MO,1977,6.05
MO,1978,4.883333333333334
MO,1979,4.841666666666667
MO,1980,7.225
MO,1981,7.641666666666667
MO,1982,9.216666666666667
