year,state,smoking,disability_65,self_rated_health,drinking,leisure_phys_act,overweight,poverty,diabetes,sleep,mental_health
2013,OK,23.7,42.8,20.6,4.2,33,67.9,16.8,11,61.3,4.3
2013,OR,17.3,37.9,17.4,8.6,18.5,59.9,16.7,9.2,67.4,4.3
2013,PA,21,34.3,16.9,5.9,26.3,64.5,13.7,10.1,60.4,4
2013,PR,10.8,49.8,35.4,5,48,66.6,45.4,14.9,61.3,4.1
2013,RI,17.4,35.1,16.2,6.1,26.9,64.6,14.3,9.3,60.9,3.8
2013,SC,22,37.2,19.7,5.7,26.9,66.5,18.6,12.5,60.3,3.8
2013,SD,19.6,35.5,12.6,5.2,23.8,67,14.2,9.1,70.5,2.5
2013,TN,24.3,40,23.1,3.3,37.2,68.4,17.8,12.2,60,3.7
2013,TX,15.9,39.9,19.2,5.9,30.1,66.1,17.5,10.9,65.1,3.2
2013,UT,10.3,36,12.5,4.5,20.6,59.2,12.7,7.1,64.7,3.5
2013,VA,19,33.9,15.9,5.7,25.5,64,11.7,9.8,60.1,3.3
2013,VI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,VT,16.6,34.2,12.1,7.1,20.5,61.9,12.3,7.8,67.5,3.3
2013,WA,16.1,37.4,15.7,6.6,20,61.4,14.1,8.6,65.3,3.8
2013,WI,18.7,33.2,15.4,7.8,23.8,66.5,13.5,8.2,65.2,3.5
2013,WV,27.3,45.5,25.7,3.9,31.4,68.8,18.5,13,58.1,4.4
2013,WY,20.6,34.6,15.2,5.8,25.1,64.4,10.9,8.6,69.3,3.2
2014,AK,19.9,41.1,13.4,8.8,19.2,64.8,11.2,7.4,62.4,3.1
2014,AL,21.1,41.8,22.9,4.5,27.6,67,19.3,12.9,59.3,4.6
2014,AR,24.7,42.6,23.5,5.1,30.7,70.6,18.9,12.7,61.3,4.4
2014,AZ,16.5,35,19,5.8,21.2,64,18.2,10,65.6,3.6
2014,CA,12.8,35.7,18.1,5.7,21.7,59.7,16.4,10.3,64.1,3.6
2014,CO,15.7,33.1,13.2,6.5,16.4,57.4,12,7.3,69.8,3.2
2014,CT,15.4,31.9,14.3,5.7,20.6,60.4,10.8,9.2,62.9,3.6
2014,DC,16.4,36.6,12.9,9,20.8,54.9,17.7,8.4,66.7,3.4
2014,DE,19.9,30.4,15.6,5.2,24.9,67.4,12.5,11.1,60.5,3.5
2014,FL,17.6,33.7,19.3,6.7,23.7,62.2,16.5,11.2,63.5,3.8
2014,GA,17.4,37.8,18.8,5.3,23.6,65.7,18.3,11.6,59.2,4
2014,GU,29.2,NA,20.2,8.7,27.7,63.4,NA,10.8,49.7,3.4
2014,HI,14.1,36,14.5,7.9,19.6,58.1,11.4,9.8,54.3,2.7
2014,IA,18.5,31.8,13.6,6.3,22.6,66.9,12.2,9.5,67.5,3
2014,ID,15.9,37.2,13.1,5,18.7,65.7,14.8,7.6,66.9,3.2
2014,IL,16.5,35.1,17.3,6.4,23.9,63.8,14.4,10.1,63.6,3.6
2014,IN,22.9,37.5,18.9,5.2,26.1,66.5,15.2,10.7,59.8,4.1
2014,KS,18.1,35.8,15.4,5.1,23.8,66,13.6,10.3,66.7,3
2014,KY,26.2,43.1,24.3,5.5,28.2,66.7,19.1,12.5,59.3,4.5
2014,LA,24,40.3,21.7,6.5,29.5,68.9,19.8,11.3,62.1,3.9
2014,MA,14.7,32.6,14.5,7,20.1,58.9,11.6,9.7,62.9,3.9
2014,MD,14.6,32,14.2,5.3,21.4,64.9,10.1,10.1,58.7,3.3
2014,ME,19.3,33.5,15.1,7.1,19.7,64.5,14.1,9.5,66,3.8
2014,MI,21.2,36.1,16.8,6.8,25.5,65.6,16.2,10.4,59.9,4.1
2014,MN,16.3,31.8,12,6.4,20.2,64.1,11.5,8.1,68.6,2.8
2014,MO,20.6,36.7,16.9,5.2,25,65.6,15.5,11.1,64,3.6
2014,MS,23,44.5,22,4.3,31.6,70.7,21.5,13,62.2,4.2
2014,MT,19.9,33.9,15.4,7.4,19.6,63,15.4,8.8,67.9,3.3
2014,NC,19.1,37.1,19,5.1,23.2,65.6,17.2,10.8,65.6,3.6
2014,ND,19.9,34.1,14.1,6.7,21.3,68.8,11.5,8.6,65.5,2.8
2014,NE,17.3,35,13.2,6.4,21.3,66.7,12.4,9.2,67.5,2.8
2014,NH,17.5,32.5,13.7,7,19.3,63.6,9.2,9.1,66.3,3.5
2014,NJ,15.1,33.1,16.9,4.8,23.3,63.1,11.1,9.7,60.6,3.4
2014,NM,19.1,40.7,20.7,5.7,23.3,64.9,21.3,11.5,66.7,3.9
2014,NV,17,36.7,18.5,6.9,22.5,63.5,15.2,9.6,62.2,3.4
2014,NY,14.4,34.7,17.2,4.9,25.9,61.1,15.9,10,59.8,3.7
2014,OH,21,35.4,17.9,6.4,25,66.7,15.8,11.7,60.2,4.1
2014,OK,21.1,42.4,20.5,3.9,28.3,68.2,16.6,12,62.8,4.1
2014,OR,17,38,15.6,7.7,16.5,61.7,16.6,9,66.7,4.1
2014,PA,19.9,34.6,17.1,6,23.3,64.1,13.6,11.2,60.8,3.9
2014,PR,11.3,49.7,35.4,3.8,40.6,65.9,46.2,15.7,62.2,3.7
2014,RI,16.3,36.3,15.2,6.2,22.5,62.4,14.3,9.4,61.7,3.6
2014,SC,21.5,37.3,19.7,5.9,25.3,67,18,12,60.5,4.2
2014,SD,18.6,34.5,14,4.9,21.2,65.2,14.2,9.1,69.5,2.7
2014,TN,24.2,39.4,23.8,4.1,26.8,67.1,18.3,13,61.5,4.8
2014,TX,14.5,39.4,19.5,5.8,27.6,67.8,17.2,11,64.8,3
2014,UT,9.7,34.2,12.1,3.3,16.8,59.5,11.7,7.1,66.1,3.5
2014,VA,19.5,34.1,16.9,5.3,23.5,64.7,11.8,9.7,62.5,3.3
2014,VI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,VT,16.4,34.5,11.7,9.1,19,60.2,12.2,7.9,67.1,3.4
2014,WA,15.3,36.6,16,6.8,18.1,63.4,13.2,8.9,66.2,3.7
2014,WI,17.4,31.6,15.5,7.2,21.2,67.4,13.2,9,66.1,3.6
2014,WV,26.7,44.3,25.8,3.6,28.7,69.6,18.3,14.1,60.7,4.6
2014,WY,19.5,35,13.7,6.2,22.1,64.6,11.2,8.4,67.3,3.3
2015,AK,19.1,39.6,13.6,8.6,22,67.2,10.3,7.6,NA,3.5
2015,AL,21.4,41.4,22.2,4.8,31.9,68.7,18.5,13.5,NA,4.3
2015,AR,24.9,42.3,23.8,5.3,34.2,69.5,19.1,12.6,NA,4.7
2015,AZ,14,34.9,18.8,5.2,24.7,65.3,17.4,10.1,NA,3.8
2015,CA,11.7,35.3,18,5.7,20,60.3,15.3,10,NA,3.6
2015,CO,15.6,32.7,13.9,5.9,17.9,56.6,11.5,6.8,NA,3.5
2015,CT,13.5,31,14.9,6.1,23.5,61.6,10.5,9.3,NA,3.6
2015,DC,16,34.6,12,9.1,19.4,54.4,17.3,8.5,NA,3.5
2015,DE,17.4,31.5,17.6,5.3,29.4,66.8,12.4,11.5,NA,3.6
2015,FL,15.8,33.5,18.4,6,26.2,64.1,15.7,11.3,NA,4.1
2015,GA,17.7,36.5,18.1,5.3,27.3,65.5,17,11.3,NA,3.7
2015,GU,27.4,NA,19.8,8.1,31.1,67,NA,12,NA,3.5
2015,HI,14.1,33,13.6,7.7,22.5,57,10.6,8.5,NA,2.9
2015,IA,18.1,32.7,13,5.9,26.3,66.7,12.2,8.8,NA,3.2
2015,ID,13.8,37,14.6,5.3,21.2,65.2,15.1,8.1,NA,3.4
2015,IL,15.1,33.6,16.4,6.2,24.8,66.2,13.6,9.9,NA,3.4
2015,IN,20.6,37.8,18.8,5.3,29.4,66.5,14.5,11.4,NA,4
2015,KS,17.7,36.5,15.7,5.1,26.5,68,13,9.7,NA,3.2
2015,KY,25.9,40.7,22.2,5.9,32.5,67.2,18.5,13.4,NA,4.3
2015,LA,21.9,39.8,21.9,6.6,31.9,69.2,19.6,12.7,NA,4.3
2015,MA,14,32.8,14.6,7.2,26.5,59.7,11.5,8.9,NA,3.9
2015,MD,15.1,31.8,13.9,4.9,24.1,65,9.7,10.3,NA,3.4
